name,location,date,time,more_info,tags
Egbe NA First Annual Summer WELLival: A Journey of Bridges,"Penn Center, St Helena Island, SC",2026-06-21,,https://www.beaufortsc.org/event/egbe-na-first-annual-summer-wellival%3a-a-journey-of-bridges/4753/,"Lifestyle, Health & Wellness, Destinations, Festivals & Fairs, Festivals & Street Fairs"
Lowcountry Juneteenth Week Festival,"Charleston, SC",2026-06-21,,https://www.charlestoncvb.com/events/lowcountry-juneteenth-week-festival~27495,"Holidays, Juneteenth, Destinations, Festivals & Fairs, Festivals & Street Fairs, Parties & Reunions, Performing Arts, Music, Live Music, Jazz, Civic Benefit, Causes & Activism"
⚽ FIFA World Cup 2026 Watch Party At Republic Garden & Lounge,"Republic Garden & Lounge, Charleston, SC",2026-06-21,,,"Food & Drink, Sports & Outdoors, Sports, Soccer"
⚽ FIFA World Cup Watch Parties at Lamar's!,"Lamar's, Charleston, SC",2026-06-21,,https://lamarssportingclub.com/,"Food & Drink, Sports & Outdoors, Sports, Soccer"
Southern Junior Championship,"Dataw Island Cotton Dike Golf Course, St Helena Island, SC",2026-06-21,,https://www.beaufortsc.org/event/southern-junior-championship/4790/,"Sports & Outdoors, Sports, Special Audience, Teens"
Father's Day at Pelato Charleston,"Pelato, Charleston, SC",2026-06-21,,https://www.charlestoncvb.com/events/father-s-day-at-pelato-charleston~27528,"Holidays, Fathers Day, Lifestyle, Parenting, Food & Drink, Pursuits & Hobbies, Culinary Arts"
America's 250th: Forge Your Own Tomahawk and Forge & Flame,"The Forge at Charleston Adventure Forest, Awendaw, SC",2026-06-21,,https://www.charlestoncvb.com/events/america-s-250th-forge-your-own-tomahawk-and-forge-flame~27597,"Destinations, Parties & Reunions, Pursuits & Hobbies, Other Interests, Professional, Jobs & Career"
Historic Church Program,"The Unitarian Church, Charleston, SC",2026-06-21,,https://www.charlestoncvb.com/events/historic-church-program-unitarian-church-in-charleston~26744,"Visual Arts, Photography, Lifestyle, Religion & Spirituality"
Historic Church Program - Unitarian Church in Charleston - Church History,"The Unitarian Church, Charleston, SC",2026-06-21,,https://www.charlestoncvb.com/events/historic-church-program-unitarian-church-in-charleston-church-history~26746,"Lifestyle, Religion & Spirituality, Pursuits & Hobbies, Other Interests, History"
Father's Day at Edmund's Original,"Edmund's Original, Charleston, SC",2026-06-21,,https://www.charlestoncvb.com/events/father-s-day-at-edmund-s-original~27636,"Holidays, Fathers Day, Food & Drink, Food, Dinner, Brunch, Lifestyle"
Walterboro - Handmade Series,"South Carolina Artisans Center, Walterboro, SC",2026-06-21,,https://southcarolinalowcountry.com/events/event/walterboro-handmade-series/,"Pursuits & Hobbies, Markets & Shopping, Farmers Markets, Crafts"
Rebecca Illustrated Painting Experience,"Mills House Hotel, Charleston, SC",2026-06-21,10:00 AM,,"Painting, Watercolor, Drawing & Painting, Visual Arts"
Petco Love PickMe!SC Adoption Event,"North Charleston, SC",2026-06-21,10:00 AM,https://pickmesc.org/,"Lifestyle, Pets"
Sunday Bazaar at American Gardens,"American Gardens, Charleston, SC",2026-06-21,10:30 AM,https://americangardenschs.com/happenings/#!/e/may-june-sunday-bazarr-68b20266,"Pursuits & Hobbies, Markets & Shopping"
Father's Day Brunch at Cantina 76 - Mt. Pleasant,"Cantina 76 - Mt. Pleasant, Mount Pleasant, SC",2026-06-21,11:00 AM,http://www.cantina76.com/events,"Food & Drink, Food, Brunch, Mexican Food, Holidays, Fathers Day"
